record_type,members,member_count,persistence_neighbor_score
cluster,"[""K_plus"", ""Upsilon_1S"", ""Xi_minus"", ""muon""]",4,0.0054
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""Ds_plus""]",4,0.0052
cluster,"[""Ds_plus"", ""Omega_minus"", ""W"", ""Z"", ""muon"", ""neutron""]",6,0.0052
cluster,"[""D_plus"", ""Delta_1232"", ""Higgs"", ""J_psi"", ""Lambda"", ""eta"", ""neutron"", ""pi_plus""]",8,0.0052
cluster,"[""Ds_plus"", ""W"", ""Xi_minus"", ""Z"", ""pi_plus""]",5,0.0052
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""K_plus"", ""Lambda"", ""Omega_minus"", ""Upsilon_1S"", ""Xi_minus"", ""electron"", ""muon"", ""phi_1020"", ""rho_770""]",12,0.0052
cluster,"[""D0"", ""Delta_1232"", ""K_long"", ""eta"", ""pi0"", ""tau""]",6,0.0052
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""K_plus"", ""Lambda"", ""Omega_minus"", ""Sigma_plus"", ""Upsilon_1S"", ""W"", ""Xi_minus"", ""Z"", ""electron"", ""muon"", ""neutron"", ""omega_782"", ""pi_plus"", ""top""]",17,0.0052
cluster,"[""K_plus"", ""K_short"", ""Upsilon_1S"", ""omega_782"", ""top""]",5,0.005
cluster,"[""W"", ""Z"", ""eta"", ""neutron""]",4,0.005
cluster,"[""D_plus"", ""Higgs"", ""J_psi"", ""K_long"", ""K_short"", ""pi0""]",6,0.005
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""Lambda"", ""Upsilon_1S"", ""Xi_minus"", ""electron"", ""neutron"", ""omega_782"", ""top""]",10,0.005
cluster,"[""K_long"", ""eta"", ""phi_1020"", ""pi0"", ""rho_770"", ""tau""]",6,0.005
cluster,"[""D_plus"", ""Sigma_plus"", ""eta"", ""muon"", ""pi0"", ""pi_plus""]",6,0.005
cluster,"[""K_plus"", ""Omega_minus"", ""phi_1020"", ""rho_770""]",4,0.005
cluster,"[""Delta_1232"", ""K_long"", ""Sigma_plus"", ""neutron"", ""phi_1020"", ""proton""]",6,0.0048
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""Omega_minus"", ""Xi_minus"", ""pi_plus"", ""proton"", ""rho_770""]",8,0.0048
cluster,"[""D0"", ""electron"", ""rho_770""]",3,0.0048
cluster,"[""D_plus"", ""K_short"", ""Upsilon_1S"", ""neutron"", ""phi_1020"", ""rho_770""]",6,0.0048
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""K_plus"", ""Lambda"", ""Upsilon_1S"", ""Xi_minus"", ""muon"", ""neutron"", ""phi_1020"", ""rho_770""]",11,0.0048
cluster,"[""Omega_minus"", ""Sigma_plus"", ""omega_782"", ""pi_plus"", ""top""]",5,0.0048
cluster,"[""Sigma_plus"", ""W"", ""Z"", ""pi_plus"", ""proton""]",5,0.0048
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""Lambda"", ""Upsilon_1S"", ""electron""]",6,0.0048
cluster,"[""Delta_1232"", ""K_plus"", ""Omega_minus""]",3,0.0046
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""D0"", ""Sigma_plus"", ""W"", ""Z""]",7,0.0046
cluster,"[""D_plus"", ""K_plus"", ""omega_782"", ""rho_770"", ""top""]",5,0.0046
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""K_long"", ""Omega_minus"", ""Sigma_plus"", ""phi_1020"", ""pi0"", ""tau""]",9,0.0046
cluster,"[""Delta_1232"", ""Ds_plus"", ""K_plus"", ""Lambda"", ""neutron"", ""pi0""]",6,0.0046
cluster,"[""D_plus"", ""Delta_1232"", ""K_short"", ""muon"", ""phi_1020""]",5,0.0046
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""Upsilon_1S"", ""Xi_minus"", ""pi_plus"", ""proton"", ""tau""]",8,0.0046
cluster,"[""K_short"", ""omega_782"", ""top""]",3,0.0046
cluster,"[""D_plus"", ""K_short"", ""electron"", ""omega_782"", ""top""]",5,0.0046
