base_index,base,category_type,category,particle_count,angular_centroid_deg,angular_variance,overlap_score
1177,12.689817963592716,family,boson,3,223.98309382121354,0.4879813705395849,1.0
1177,12.689817963592716,family,quark,1,11.566481051274165,0.0,1.0
1178,12.699579915983195,family,lepton,3,39.932352465192686,0.04830963859267512,1.0
1178,12.699579915983195,family,meson,17,76.40038586429036,0.7804155490588017,0.9411764705882353
1178,12.699579915983195,family,baryon,7,78.3822241945047,0.6465946623539534,1.0
1178,12.699579915983195,family,boson,3,223.9449713643259,0.4896152213326984,1.0
1178,12.699579915983195,family,quark,1,11.45405966403489,0.0,1.0
1179,12.709341868373674,family,lepton,3,37.09735353648923,0.04840156260509443,1.0
1179,12.709341868373674,family,meson,17,75.60883665797665,0.7793292835574208,0.9411764705882353
1179,12.709341868373674,family,baryon,7,76.49934328519923,0.6570171801761521,1.0
1179,12.709341868373674,family,boson,3,223.9080680879859,0.491244851802504,1.0
1179,12.709341868373674,family,quark,1,11.341792589668493,1.1102230246251565e-16,1.0
1180,12.719103820764152,family,lepton,3,34.272352440252334,0.049663572017316526,1.0
1180,12.719103820764152,family,meson,17,74.81864355522876,0.7782544431409038,0.9411764705882353
1180,12.719103820764152,family,baryon,7,74.7330058229262,0.6681957308717091,1.0
1180,12.719103820764152,family,boson,3,223.8723888470932,0.492870215196456,1.0
1180,12.719103820764152,family,quark,1,11.22967947759717,0.0,1.0
1181,12.728865773154629,family,lepton,3,31.458812309598976,0.052088952885310014,1.0
1181,12.728865773154629,family,meson,17,74.02978678499791,0.7771912338348623,0.9411764705882353
1181,12.728865773154629,family,baryon,7,73.10283065653093,0.6800693421666123,1.0
1181,12.728865773154629,family,boson,3,223.83793849597848,0.4944912646395785,1.0
1181,12.728865773154629,family,quark,1,11.11771997834551,0.0,1.0
1182,12.738627725545108,family,lepton,3,28.65823535405011,0.055668966253656804,1.0
1182,12.738627725545108,family,meson,17,73.24224694878353,0.7761398592980113,0.9411764705882353
1182,12.738627725545108,family,baryon,7,71.63215754700845,0.6925678858574846,1.0
1182,12.738627725545108,family,boson,3,223.80472188725966,0.49610795313330525,1.0
1182,12.738627725545108,family,quark,1,11.005913743536029,1.1102230246251565e-16,1.0
1183,12.748389677935586,family,lepton,3,25.87217714237789,0.060392849989850506,1.0
1183,12.748389677935586,family,meson,17,72.45600500764606,0.7751005207950055,0.9411764705882353
1183,12.748389677935586,family,baryon,7,70.34891484966197,0.7056103653403616,1.0
1183,12.748389677935586,family,boson,3,223.7727438706655,0.4977202335543701,1.0
1183,12.748389677935586,family,quark,1,10.894260425884763,0.0,1.0
1184,12.758151630326063,family,lepton,3,23.10226166607889,0.06624781735499385,1.0
1184,12.758151630326063,family,meson,17,71.67104226952519,0.7740734171700213,0.9411764705882353
1184,12.758151630326063,family,baryon,7,69.2866621484908,0.719102637029463,1.0
1184,12.758151630326063,family,boson,3,223.7420092918266,0.4993280586537473,1.0
1184,12.758151630326063,family,quark,1,10.78275967919704,0.0,1.0
1185,12.767913582716542,family,lepton,3,20.350197464274927,0.0732190516631066,1.0
1185,12.767913582716542,family,meson,17,70.8873403768566,0.7730587448210293,1.0
1185,12.767913582716542,family,baryon,7,68.48580437547417,0.7329343871277669,1.0
1185,12.767913582716542,family,boson,3,223.71252299103358,0.500931381055659,1.0
1185,12.767913582716542,family,quark,1,10.671411158363082,1.1102230246251565e-16,1.0
1186,12.77767553510702,family,lepton,3,17.61779511654973,0.08128969621748738,1.0
1186,12.77767553510702,family,meson,17,70.1048812944793,0.7720566976747942,1.0
1186,12.77767553510702,family,baryon,7,67.99492315299511,0.7469751478945892,1.0
1186,12.77767553510702,family,boson,3,223.6842898019607,0.5025301532566285,1.0
1186,12.77767553510702,family,quark,1,10.560214519353437,1.1102230246251565e-16,1.0
1187,12.787437487497499,family,lepton,3,14.906986444331215,0.09044083852352547,1.0
1187,12.787437487497499,family,meson,17,69.32364729782608,0.7710674671625862,0.9411764705882353
1187,12.787437487497499,family,baryon,7,67.87206272507028,0.7610691206475073,1.0
1187,12.787437487497499,family,boson,3,223.65731455035615,0.504124327624598,1.0
1187,12.787437487497499,family,quark,1,10.449169419215005,0.0,1.0
1188,12.797199439887976,family,lepton,3,12.219845805304411,0.10065148755463449,1.0
1188,12.797199439887976,family,meson,17,68.5436209613916,0.7700912421966123,0.9411764705882353
1188,12.797199439887976,family,baryon,7,68.18559483091761,0.7750286215645388,1.0
1188,12.797199439887976,family,boson,3,223.6316020526968,0.505713856398113,1.0
1188,12.797199439887976,family,quark,1,10.338275516066702,1.1102230246251565e-16,1.0
1189,12.806961392278454,family,lepton,3,9.55861391991425,0.11189854258317566,1.0
1189,12.806961392278454,family,meson,17,67.76478514745986,0.7691282091471501,0.9411764705882353
1189,12.806961392278454,family,baryon,7,69.01390019396288,0.7886261773161156,1.0
1189,12.806961392278454,family,boson,3,223.60715711480816,0.507298691685563,1.0
1189,12.806961392278454,family,quark,1,10.227532469094909,0.0,1.0
1190,12.816723344668933,family,lepton,3,6.925724736042008,0.12415675176948116,1.0
1190,12.816723344668933,family,meson,17,66.98712299509666,0.7681785518204036,0.8823529411764706
1190,12.816723344668933,family,baryon,7,70.44247369536897,0.8015858529747152,1.0
1190,12.816723344668933,family,boson,3,223.5839845304483,0.5088787854644934,1.0
1190,12.816723344668933,family,quark,1,10.116939938549558,0.0,1.0
1191,12.82648529705941,family,lepton,3,4.323835919011857,0.13739865831591713,1.0
1191,12.82648529705941,family,meson,17,66.21061790938856,0.767242451437068,0.8823529411764706
1191,12.82648529705941,family,baryon,7,72.55621063885734,0.813575582704575,1.0
1191,12.82648529705941,family,boson,3,223.56208907985584,0.5104540895809854,1.0
1191,12.82648529705941,family,quark,1,10.006497585739815,0.0,1.0
1192,12.836247249449888,family,lepton,3,1.755863651146341,0.1515945315228281,1.0
1192,12.836247249449888,family,meson,17,65.43525355092585,0.7663200866115957,0.9411764705882353
1192,12.836247249449888,family,baryon,7,75.42394917870425,0.8242043943616695,1.0
1192,12.836247249449888,family,boson,3,223.54147552826038,0.5120245557491018,1.0
1192,12.836247249449888,family,quark,1,9.896205073029519,0.0,1.0
1193,12.846009201840367,family,lepton,3,359.2250225402377,0.16671227950683565,1.0
1193,12.846009201840367,family,meson,17,64.66101382551764,0.7654116333321761,0.9411764705882353
1193,12.846009201840367,family,baryon,7,79.07304917818654,0.8330313379122092,1.0
1193,12.846009201840367,family,boson,3,223.5221486243568,0.51359013555041,1.0
1193,12.846009201840367,family,quark,1,9.786062063833834,1.1102230246251565e-16,1.0
1194,12.855771154230846,family,lepton,3,356.73487157112373,0.18271733963451486,1.0
1194,12.855771154230846,family,meson,17,63.8878828741392,0.7645172649414113,0.8235294117647058
1194,12.855771154230846,family,baryon,7,83.45612991410331,0.8395950221899932,1.0
1194,12.855771154230846,family,boson,3,223.50411309874076,0.5151507804335761,1.0
1194,12.855771154230846,family,quark,1,9.676068222614118,0.0,1.0
