peak_rank,peak_base,peak_score,expression,n,constant_value,absolute_error,relative_error,match_rank_for_peak
1,43.79139827965593,0.7949210645505121,n*phi,7,11.326237921249264,32.46516035840666,0.7413592996296017,54
1,43.79139827965593,0.7949210645505121,phi^n,5,11.090169943749476,32.70122833590645,0.7467500381484367,55
1,43.79139827965593,0.7949210645505121,n*e,4,10.87312731383618,32.91827096581975,0.7517063226800985,56
1,43.79139827965593,0.7949210645505121,pi^n,2,9.869604401089358,33.921793878566575,0.7746223050914898,57
1,43.79139827965593,0.7949210645505121,n*phi,6,9.70820393249937,34.083194347156564,0.7783079711110873,58
1,43.79139827965593,0.7949210645505121,n*pi,3,9.42477796076938,34.36662031888655,0.7847801547559209,59
1,43.79139827965593,0.7949210645505121,n*e,3,8.154845485377136,35.63655279427879,0.8137797420100737,60
1,43.79139827965593,0.7949210645505121,n*phi,5,8.090169943749475,35.70122833590646,0.8152566425925727,61
1,43.79139827965593,0.7949210645505121,sqrt(n*pi),20,7.926654595212022,35.86474368444391,0.8189906030268395,62
1,43.79139827965593,0.7949210645505121,sqrt(n*pi),19,7.7259472181866515,36.065451061469275,0.8235738633224717,63
1,43.79139827965593,0.7949210645505121,sqrt(n*pi),18,7.519884823893001,36.27151345576293,0.8282794083013674,64
1,43.79139827965593,0.7949210645505121,e^n,2,7.3890560989306495,36.40234218072528,0.8312669522050095,65
1,43.79139827965593,0.7949210645505121,sqrt(n*pi),17,7.308014443816219,36.48338383583971,0.8331175817418169,66
1,43.79139827965593,0.7949210645505121,sqrt(n*pi),16,7.0898154036220635,36.70158287603387,0.8381002735207074,67
1,43.79139827965593,0.7949210645505121,sqrt(n*pi),15,6.864684246478267,36.92671403317766,0.8432412638975408,68
1,43.79139827965593,0.7949210645505121,phi^n,4,6.854101966249686,36.93729631340624,0.8434829159261197,69
1,43.79139827965593,0.7949210645505121,sqrt(n*pi),14,6.631915043956542,37.15948323569939,0.8485566731255185,70
1,43.79139827965593,0.7949210645505121,n*phi,4,6.47213595499958,37.31926232465635,0.8522053140740581,71
1,43.79139827965593,0.7949210645505121,sqrt(n*pi),13,6.390673242833443,37.400725036822486,0.8540655586738288,72
1,43.79139827965593,0.7949210645505121,n*pi,2,6.283185307179586,37.50821297247634,0.856520103170614,73
1,43.79139827965593,0.7949210645505121,sqrt(n*pi),12,6.139960247678931,37.651438031977,0.8597907240031805,74
1,43.79139827965593,0.7949210645505121,sqrt(n*pi),11,5.878564381674128,37.9128338979818,0.8657598384017547,75
1,43.79139827965593,0.7949210645505121,sqrt(n*pi),10,5.604991216397929,38.186407063258,0.8720070279417904,76
1,43.79139827965593,0.7949210645505121,n*e,2,5.43656365691809,38.35483462273784,0.8758531613400492,77
1,43.79139827965593,0.7949210645505121,sqrt(n*pi),9,5.317361552716548,38.47403672693938,0.8785752051405304,78
1,43.79139827965593,0.7949210645505121,sqrt(n*pi),8,5.0132565492620005,38.778141730393926,0.8855196055342448,79
1,43.79139827965593,0.7949210645505121,n*phi,3,4.854101966249685,38.93729631340624,0.8891539855555436,80
1,43.79139827965593,0.7949210645505121,sqrt(n*pi),7,4.689472099834751,39.10192617982118,0.8929133966016032,81
1,43.79139827965593,0.7949210645505121,sqrt(n*pi),6,4.3416075273496055,39.44979075230633,0.9008570701573927,82
1,43.79139827965593,0.7949210645505121,phi^n,3,4.23606797749979,39.555330302156136,0.903267122222317,83
1,43.79139827965593,0.7949210645505121,sqrt(n*pi),5,3.963327297606011,39.828070982049915,0.9094953015134196,84
1,43.79139827965593,0.7949210645505121,sqrt(n*pi),4,3.5449077018110318,40.246490577844895,0.9190501367603536,85
1,43.79139827965593,0.7949210645505121,n*phi,2,3.23606797749979,40.555330302156136,0.926102657037029,86
1,43.79139827965593,0.7949210645505121,n*pi,1,3.141592653589793,40.64980562606614,0.9282600515853071,87
1,43.79139827965593,0.7949210645505121,pi^n,1,3.141592653589793,40.64980562606614,0.9282600515853071,88
1,43.79139827965593,0.7949210645505121,sqrt(n*pi),3,3.0699801238394655,40.721418155816465,0.9298953620015902,89
1,43.79139827965593,0.7949210645505121,n*e,1,2.718281828459045,41.07311645119688,0.9379265806700245,90
1,43.79139827965593,0.7949210645505121,e^n,1,2.718281828459045,41.07311645119688,0.9379265806700245,91
1,43.79139827965593,0.7949210645505121,phi^n,2,2.618033988749895,41.173364290906036,0.9402157937038026,92
1,43.79139827965593,0.7949210645505121,sqrt(n*pi),2,2.5066282746310002,41.28477000502493,0.9427598027671225,93
1,43.79139827965593,0.7949210645505121,sqrt(n*pi),1,1.7724538509055159,42.018944428750416,0.9595250683801769,94
1,43.79139827965593,0.7949210645505121,n*phi,1,1.618033988749895,42.173364290906036,0.9630513285185146,95
1,43.79139827965593,0.7949210645505121,phi^n,1,1.618033988749895,42.173364290906036,0.9630513285185146,96
1,43.79139827965593,0.7949210645505121,pi^n,4,97.40909103400242,53.617692754346486,1.2243886895764078,97
1,43.79139827965593,0.7949210645505121,phi^n,10,122.99186938124426,79.20047110158833,1.8085851151819081,98
1,43.79139827965593,0.7949210645505121,e^n,5,148.41315910257657,104.62176082292063,2.389093861648271,99
1,43.79139827965593,0.7949210645505121,phi^n,11,199.0050249987407,155.21362671908477,3.5443861766613654,100
1,43.79139827965593,0.7949210645505121,pi^n,5,306.0196847852814,262.2282865056255,5.98812316590147,101
1,43.79139827965593,0.7949210645505121,phi^n,12,321.996894379985,278.20549610032907,6.352971291843274,102
1,43.79139827965593,0.7949210645505121,e^n,6,403.428793492735,359.63739521307906,8.212512259060588,103
1,43.79139827965593,0.7949210645505121,phi^n,13,521.0019193787257,477.21052109906975,10.897357468504639,104
1,43.79139827965593,0.7949210645505121,phi^n,14,842.9988137587108,799.2074154790548,18.250328760347916,105
1,43.79139827965593,0.7949210645505121,pi^n,6,961.3891935753043,917.5977952956483,20.95383640037671,106
1,43.79139827965593,0.7949210645505121,e^n,7,1096.6331584284583,1052.8417601488025,24.042204668260588,107
1,43.79139827965593,0.7949210645505121,phi^n,15,1364.0007331374366,1320.2093348577807,30.14768622885256,108
1,43.79139827965593,0.7949210645505121,phi^n,16,2206.9995468961474,2163.2081486164916,49.398014989200476,109
1,43.79139827965593,0.7949210645505121,e^n,8,2980.957987041727,2937.166588762071,67.07176989428501,110
1,43.79139827965593,0.7949210645505121,pi^n,7,3020.2932277767914,2976.5018294971355,67.97001115353565,111
