name,family,dominant_interaction,mass_mev,compton_frequency_hz,lifetime_s,compton_cycles,log10_N,base,log_base_N,phase_fraction,theta_rad,theta_deg,complex_x,complex_y
eta,meson,electromagnetic,547.862,1.3247244221471272e+23,5.02e-19,66501.16599178579,4.82282926003031,pi,9.700956441755954,0.7009564417559542,4.404239215813894,252.3443190321435,-0.303296073973056,-0.9528963697656375
rho_770,meson,strong,775.26,1.8745703398187536e+23,4.41e-24,0.8266855198600702,-0.08265966936381419,pi,-0.1662671035514268,0.8337328964485732,5.238498285077954,300.1438427214863,0.5021726040010341,-0.8647674113834428
omega_782,meson,strong,782.66,1.892463460210182e+23,7.749999999999999e-23,14.666591816628907,1.1663292053773442,pi,2.3460313869876335,0.34603138698763347,2.174179326543672,124.57129931554806,-0.5674313471719381,0.8234207103581009
phi_1020,meson,strong,1019.461,2.4650457307251326e+23,1.55e-22,38.208208826239556,1.582156678747984,pi,3.182454156478059,0.18245415647805885,1.1463932752167845,65.68349633210119,0.4117768651770878,0.9112847048562434
D0,meson,weak,1864.84,4.509163058209639e+23,4.103e-13,185010960278.34146,11.267197457307917,pi,22.663583108749865,0.6635831087498651,4.169415638989706,238.88991914995145,-0.5166839759480073,-0.85617619039457
D_plus,meson,weak,1869.66,4.5208177663564874e+23,1.033e-12,467000475264.6251,11.669317322546195,pi,23.472433492355773,0.4724334923557727,2.9683871777893303,170.07605724807817,-0.9850373944380564,0.17234074259641863
Ds_plus,meson,weak,1968.35,4.759449124657848e+23,5.012e-13,238543590127.85135,11.377567751184174,pi,22.885589187677613,0.8855891876776134,5.5643209722130855,318.8121075639408,0.7525540842804561,-0.658530447460711
J_psi,meson,mixed,3096.9,7.488270883812783e+23,7.080000000000001e-21,5301.695785739452,3.7244148040524654,pi,7.49153325509121,0.49153325509120993,3.0883945263792456,176.95197183283557,-0.9985853133129403,0.05317303861635981
B_plus,meson,weak,5279.41,1.2765556584555537e+24,1.638e-12,2090998168550.197,12.320353652430827,pi,24.78197084847851,0.7819708484785117,4.91326774580294,281.50950545226425,0.1995305025913331,-0.979891615708416
B0,meson,weak,5279.72,1.2766306161220584e+24,1.517e-12,1936648644657.1626,12.287050836244319,pi,24.71498337042479,0.7149833704247897,4.4923730079307775,257.3940133529243,-0.21824521053006396,-0.9758939635435235
Bs0,meson,weak,5366.93,1.297717900302281e+24,1.516e-12,1967340336858.258,12.293879496489762,pi,24.728718987429854,0.7287189874298541,4.578676434882045,262.3388354747475,-0.13331445944015066,-0.991073788829157
Upsilon_1S,meson,mixed,9460.4,2.2875145425820157e+24,1.2190000000000001e-20,27884.802274074773,4.445367569337434,pi,8.941705134605153,0.9417051346051526,5.916907865446669,339.0138484578549,0.9336670171851156,-0.3581422915834559
W,boson,weak,80369.2,1.9433186099497117e+25,3.16e-25,6.140886807441088,0.7882310922760309,pi,1.5854999378848915,0.5854999378848915,3.6788046070729106,210.77997763856092,-0.8591387809976424,-0.511742664809067
Z,boson,weak,91188.0,2.204916030072395e+25,2.64e-25,5.820978319391123,0.7649959817301074,pi,1.5387633060921309,0.5387633060921309,3.3851496888855745,193.9547901931671,-0.9704863150824797,-0.24115619883724707
Higgs,boson,mixed,125200.0,3.027322531090317e+25,1.6000000000000002e-22,4843.716049744508,3.685178675832777,pi,7.412611122400998,0.41261112240099784,2.5925121418488275,148.54000406435924,-0.8530047663748388,0.5219031217973378
top,quark,weak,172560.0,4.172482236141734e+25,3.3e-25,13.769191379267722,1.1389084362748172,pi,2.290875445874887,0.290875445874887,1.827624327740401,104.71516051495932,-0.2540138756187476,0.9672005743345811
muon,lepton,weak,105.6583755,2.5548081529516867e+22,2.1969811e-06,5.612865226160765e+16,16.74918461424223,phi,80.14437884559985,0.14437884559984582,0.9071590413405013,51.976384415944494,0.6159862171741816,0.7877569296752914
tau,lepton,weak,1776.93,4.2965976239379536e+23,2.903e-13,124730229022.9188,11.09597171977255,phi,53.093913623313796,0.09391362331379582,0.5900766981492401,33.8089043929665,0.8308980047953902,0.5564247528885102
neutron,baryon,weak,939.56542194,2.2718590824858967e+23,878.4,1.9956010180556114e+26,26.300073716822478,phi,125.84511545928684,0.8451154592868448,5.310017036661431,304.24156534326414,0.5626832372277573,-0.8266725921082007
Lambda,baryon,weak,1115.683,2.6977094915770273e+23,2.617e-10,70599057394570.8,13.84879890259473,phi,66.26611452251248,0.26611452251248124,1.6720468578775334,95.80122810449325,-0.1010776218974184,0.9948785425123825
Sigma_plus,baryon,weak,1189.37,2.8758838648585384e+23,8.018e-11,23058836828435.76,13.362837396118582,phi,63.940802337089124,0.9408023370891243,5.911235421358602,338.68884135208475,0.9316204648701785,-0.36343267524408507
Xi_minus,baryon,weak,1321.71,3.195880561156057e+23,1.639e-10,52380482397347.77,13.719169493736818,phi,65.6458414350569,0.6458414350568944,4.0579414155172575,232.50291662048195,-0.6087210428614052,-0.7933843280388915
Omega_minus,baryon,weak,1672.45,4.043966107924921e+23,8.21e-11,33200961746063.605,13.521150664275083,phi,64.69832688718758,0.6983268871875765,4.387717237185437,251.39767938752752,-0.31899769586374466,-0.9477554906375494
Delta_1232,baryon,strong,1232.0,2.978962746248619e+23,5.5999999999999996e-24,1.6682191378992266,0.22225309913704822,phi,1.0634748489011223,0.06347484890112232,0.39882423799097605,22.850945604404036,0.9215182205451026,0.38833512486432104
pi0,meson,electromagnetic,134.9768,3.2637245033104756e+22,8.43e-17,2751319.756290731,6.439541066697468,phi,30.813023483086692,0.8130234830866918,5.108377203322273,292.688453911209,0.3857201271371421,-0.9226158374541957
pi_plus,meson,weak,139.57039,3.374797015335964e+22,2.6033e-08,878560907002411.5,14.943771874719356,phi,71.50552949851243,0.5055294985124306,3.1763355173991683,181.990619464475,-0.9993965274134583,-0.0347358747395362
K_plus,meson,weak,493.677,1.193705675064756e+23,1.238e-08,1477807625730168.0,15.169617903259415,phi,72.58619641388557,0.586196413885574,3.683180694847202,211.03070899880663,-0.8568911310235041,-0.515497419560234
K_short,meson,weak,497.611,1.2032180447431181e+23,8.954e-11,10773614372629.879,13.032361426487812,phi,62.3594840867109,0.35948408671089993,2.2587051317867988,129.41427121592397,-0.6349229657621233,0.7725754510388159
K_long,meson,weak,497.611,1.2032180447431181e+23,5.116e-08,6155663516905793.0,15.789274872247002,phi,75.55123763951208,0.551237639512081,3.463528237346665,198.44555022434918,-0.9486247703901185,-0.31640329486636987
eta,meson,electromagnetic,547.862,1.3247244221471272e+23,5.02e-19,66501.16599178579,4.82282926003031,phi,23.077102809819397,0.07710280981939732,0.48445124179949917,27.757011534983036,0.8849306515525367,0.46572281664398074
rho_770,meson,strong,775.26,1.8745703398187536e+23,4.41e-24,0.8266855198600702,-0.08265966936381419,phi,-0.3955242006892922,0.6044757993107077,3.798033460774675,217.61128775185477,-0.7921694242367958,-0.6103012398023974
omega_782,meson,strong,782.66,1.892463460210182e+23,7.749999999999999e-23,14.666591816628907,1.1663292053773442,phi,5.580852551769328,0.5808525517693282,3.6496042189148126,209.10691863695814,-0.8737134902116469,-0.486440887490127
phi_1020,meson,strong,1019.461,2.4650457307251326e+23,1.55e-22,38.208208826239556,1.582156678747984,phi,7.570575354865489,0.5705753548654888,3.5850306863296177,205.40712775157598,-0.9032819251704232,-0.4290475074632341
D0,meson,weak,1864.84,4.509163058209639e+23,4.103e-13,185010960278.34146,11.267197457307917,phi,53.913223977412045,0.913223977412045,5.737955477039463,328.7606318683362,0.8550081200944756,-0.5186146108359374
D_plus,meson,weak,1869.66,4.5208177663564874e+23,1.033e-12,467000475264.6251,11.669317322546195,phi,55.83735625986323,0.8373562598632276,5.261264548847483,301.44825355076193,0.5217282932450221,-0.8531117089969146
Ds_plus,meson,weak,1968.35,4.759449124657848e+23,5.012e-13,238543590127.85135,11.377567751184174,phi,54.44134273957538,0.44134273957538284,2.773038216730432,158.88338624713782,-0.9328491092434609,0.3602673165632454
J_psi,meson,mixed,3096.9,7.488270883812783e+23,7.080000000000001e-21,5301.695785739452,3.7244148040524654,phi,17.821220430057675,0.8212204300576751,5.159880140094085,295.639354820763,0.4327050896145399,-0.9015355264334695
B_plus,meson,weak,5279.41,1.2765556584555537e+24,1.638e-12,2090998168550.197,12.320353652430827,phi,58.95254684771762,0.9525468477176204,5.9850283579795835,342.91686517834336,0.9558795250102058,-0.2937589720608773
